lat,lon,period,zone
32.8425066,35.68399843,Early Pliocene Basalt,1
32.84359533,35.68713626,Early Pliocene Basalt,1
32.8437824,35.68938414,Early Pliocene Basalt,1
32.84470742,35.69182004,Early Pliocene Basalt,1
32.84567487,35.69371202,Early Pliocene Basalt,1
32.84627261,35.69550542,Early Pliocene Basalt,1
32.84791961,35.69810227,Early Pliocene Basalt,1
32.84846746,35.70041793,Early Pliocene Basalt,1
32.8486507,35.70264126,Early Pliocene Basalt,1
32.8494469,35.70435538,Early Pliocene Basalt,1
32.84963603,35.70605416,Early Pliocene Basalt,1
32.85009232,35.70994621,Early Pliocene Basalt,1
32.8503406,35.71214715,Early Pliocene Basalt,1
32.85015031,35.71428478,Early Pliocene Basalt,1
32.85076988,35.71708851,Early Pliocene Basalt,1
32.8509667,35.71929985,Early Pliocene Basalt,1
32.85161747,35.72156997,Early Pliocene Basalt,1
32.85200269,35.72322213,Early Pliocene Basalt,1
32.85310665,35.72502557,Early Pliocene Basalt,1
32.85350209,35.72720781,Early Pliocene Basalt,1
32.85484663,35.73057541,Early Pliocene Basalt,1
32.85591498,35.73334732,Early Pliocene Basalt,1
32.85652445,35.73553778,Early Pliocene Basalt,1
32.85534696,35.73881738,Early Pliocene Basalt,1
32.85503724,35.7404329,Early Pliocene Basalt,1
32.85335193,35.73964701,Early Pliocene Basalt,1
32.85087242,35.73819747,Early Pliocene Basalt,1
32.85007892,35.73753395,Early Pliocene Basalt,1
32.84759414,35.73608132,Early Pliocene Basalt,1
32.84580194,35.73583308,Early Pliocene Basalt,1
32.8440096,35.73558478,Early Pliocene Basalt,1
32.84168655,35.7352811,Early Pliocene Basalt,1
32.83971631,35.73557974,Early Pliocene Basalt,1
32.8369308,35.73521614,Early Pliocene Basalt,1
32.8339346,35.73593303,Early Pliocene Basalt,1
32.83210371,35.73622014,Early Pliocene Basalt,1
32.82985151,35.73644369,Early Pliocene Basalt,1
32.82802278,35.7367309,Early Pliocene Basalt,1
32.82579334,35.73748529,Early Pliocene Basalt,1
32.82370116,35.7371645,Early Pliocene Basalt,1
32.82199892,35.73690956,Early Pliocene Basalt,1
32.82164944,35.73460403,Early Pliocene Basalt,1
32.82069,35.73235718,Early Pliocene Basalt,1
32.82024241,35.7301749,Early Pliocene Basalt,1
32.82020008,35.72754267,Early Pliocene Basalt,1
32.82126292,35.72395962,Early Pliocene Basalt,1
32.82298606,35.72144762,Early Pliocene Basalt,1
32.82533643,35.71947592,Early Pliocene Basalt,1
32.82775227,35.71695546,Early Pliocene Basalt,1
32.82786439,35.71535286,Early Pliocene Basalt,1
32.82865459,35.71199217,Early Pliocene Basalt,1
32.82796753,35.70970663,Early Pliocene Basalt,1
32.82595392,35.70847766,Early Pliocene Basalt,1
32.82526833,35.70671897,Early Pliocene Basalt,1
32.8225597,35.70427052,Early Pliocene Basalt,1
32.82081647,35.70193243,Early Pliocene Basalt,1
32.81962373,35.69962198,Early Pliocene Basalt,1
32.81918927,35.69903955,Early Pliocene Basalt,1
32.81865428,35.69618778,Early Pliocene Basalt,1
32.8186075,35.69337375,Early Pliocene Basalt,1
32.81843701,35.69112614,Early Pliocene Basalt,1
32.8183567,35.68831721,Early Pliocene Basalt,1
32.81880992,35.68551932,Early Pliocene Basalt,1
32.81932672,35.68216532,Early Pliocene Basalt,1
32.81968118,35.6799175,Early Pliocene Basalt,1
32.81955525,35.67761874,Early Pliocene Basalt,1
32.82008886,35.67422781,Early Pliocene Basalt,1
32.82051219,35.67191585,Early Pliocene Basalt,1
32.81904346,35.67027642,Early Pliocene Basalt,1
32.8178698,35.66882298,Early Pliocene Basalt,1
32.81472182,35.66716424,Early Pliocene Basalt,1
32.81236671,35.6683338,Early Pliocene Basalt,1
32.81054761,35.67147193,Early Pliocene Basalt,1
32.80884994,35.67402289,Early Pliocene Basalt,1
32.8076914,35.67607023,Early Pliocene Basalt,1
32.80616466,35.67750783,Early Pliocene Basalt,1
32.80461077,35.67896384,Early Pliocene Basalt,1
32.80222984,35.67926917,Early Pliocene Basalt,1
32.79992618,35.6790301,Early Pliocene Basalt,1
32.79815082,35.67879103,Early Pliocene Basalt,1
32.79650329,35.67845407,Early Pliocene Basalt,1
32.79485116,35.67811616,Early Pliocene Basalt,1
32.79294571,35.67657796,Early Pliocene Basalt,1
32.79083469,35.6756884,Early Pliocene Basalt,1
32.78960275,35.6749275,Early Pliocene Basalt,1
32.78746619,35.6740538,Early Pliocene Basalt,1
32.78573054,35.67328095,Early Pliocene Basalt,1
32.7836917,35.67376533,Early Pliocene Basalt,1
32.78213242,35.67524357,Early Pliocene Basalt,1
32.78181023,35.67747497,Early Pliocene Basalt,1
32.78157717,35.67913634,Early Pliocene Basalt,1
32.78111759,35.68244413,Early Pliocene Basalt,1
32.78182657,35.68513848,Early Pliocene Basalt,1
32.78194595,35.68740791,Early Pliocene Basalt,1
32.78103871,35.6882797,Early Pliocene Basalt,1
32.77941769,35.68840357,Early Pliocene Basalt,1
32.7769002,35.6879164,Early Pliocene Basalt,1
32.77607755,35.68676455,Early Pliocene Basalt,1
32.7749145,35.68449254,Early Pliocene Basalt,1
32.77422203,35.68225997,Early Pliocene Basalt,1
32.77304345,35.68001007,Early Pliocene Basalt,1
32.77192036,35.67770618,Early Pliocene Basalt,1
32.77128559,35.67541246,Early Pliocene Basalt,1
32.77058292,35.67319409,Early Pliocene Basalt,1
32.76930667,35.67154282,Early Pliocene Basalt,1
32.76799577,35.66948491,Early Pliocene Basalt,1
32.76618419,35.66838631,Early Pliocene Basalt,1
32.7637733,35.66837767,Early Pliocene Basalt,1
32.76060987,35.66809452,Early Pliocene Basalt,1
32.75888384,35.66736975,Early Pliocene Basalt,1
32.75670412,35.66661523,Early Pliocene Basalt,1
32.75625908,35.66656797,Early Pliocene Basalt,1
32.75373525,35.66473412,Early Pliocene Basalt,1
32.75121716,35.66290459,Early Pliocene Basalt,1
32.7495416,35.66168726,Early Pliocene Basalt,1
32.74707079,35.66018782,Early Pliocene Basalt,1
32.74531314,35.65957298,Early Pliocene Basalt,1
32.74274337,35.65831739,Early Pliocene Basalt,1
32.74053542,35.65810947,Early Pliocene Basalt,1
32.73926807,35.65745173,Early Pliocene Basalt,1
32.73708245,35.65719624,Early Pliocene Basalt,1
32.73271382,35.65669898,Early Pliocene Basalt,1
32.73053237,35.65645405,Early Pliocene Basalt,1
32.72835346,35.65620939,Early Pliocene Basalt,1
32.7257421,35.65591623,Early Pliocene Basalt,1
32.7227001,35.6555747,Early Pliocene Basalt,1
32.72096689,35.65535815,Early Pliocene Basalt,1
32.71880413,35.65506474,Early Pliocene Basalt,1
32.71663912,35.65479725,Early Pliocene Basalt,1
32.71534077,35.65463686,Early Pliocene Basalt,1
32.71221305,35.65529918,Early Pliocene Basalt,1
32.71038431,35.65612133,Early Pliocene Basalt,1
32.70898851,35.65699651,Early Pliocene Basalt,1
32.70711139,35.65832071,Early Pliocene Basalt,1
32.70479723,35.65945028,Early Pliocene Basalt,1
32.70332821,35.6604739,Early Pliocene Basalt,1
32.70184705,35.66150588,Early Pliocene Basalt,1
32.70118152,35.6632215,Early Pliocene Basalt,1
32.70051466,35.66498598,Early Pliocene Basalt,1
32.69973072,35.66771993,Early Pliocene Basalt,1
32.70088774,35.66935524,Early Pliocene Basalt,1
32.70254231,35.67053016,Early Pliocene Basalt,1
32.70375957,35.67165497,Early Pliocene Basalt,1
32.70626273,35.67356221,Early Pliocene Basalt,1
32.70793265,35.67478424,Early Pliocene Basalt,1
32.7099971,35.67669721,Early Pliocene Basalt,1
32.71088265,35.67687665,Early Pliocene Basalt,1
32.71337338,35.67904497,Early Pliocene Basalt,1
32.71543515,35.68084017,Early Pliocene Basalt,1
32.71700754,35.68288941,Early Pliocene Basalt,1
32.71869321,35.68373189,Early Pliocene Basalt,1
32.71995965,35.68439548,Early Pliocene Basalt,1
32.72301271,35.68514417,Early Pliocene Basalt,1
32.72463368,35.68654798,Early Pliocene Basalt,1
32.72526115,35.68890813,Early Pliocene Basalt,1
32.72643436,35.69097189,Early Pliocene Basalt,1
32.72765867,35.69254546,Early Pliocene Basalt,1
32.72841835,35.69454551,Early Pliocene Basalt,1
32.72921442,35.69608564,Early Pliocene Basalt,1
32.73140828,35.696851,Early Pliocene Basalt,1
32.73407872,35.69719702,Early Pliocene Basalt,1
32.73635057,35.69652917,Early Pliocene Basalt,1
32.73815945,35.69626673,Early Pliocene Basalt,1
32.7408508,35.69612608,Early Pliocene Basalt,1
32.74261308,35.69592674,Early Pliocene Basalt,1
32.74484088,35.69529071,Early Pliocene Basalt,1
32.74758196,35.69552803,Early Pliocene Basalt,1
32.7494384,35.69519558,Early Pliocene Basalt,1
32.75129833,35.69486248,Early Pliocene Basalt,1
32.75365768,35.69405868,Early Pliocene Basalt,1
32.75606033,35.69273786,Early Pliocene Basalt,1
32.75754955,35.69132628,Early Pliocene Basalt,1
32.75899524,35.690435,Early Pliocene Basalt,1
32.76075416,35.68974575,Early Pliocene Basalt,1
32.76240279,35.6901143,Early Pliocene Basalt,1
32.76348406,35.69196601,Early Pliocene Basalt,1
32.76369342,35.6941577,Early Pliocene Basalt,1
32.76385245,35.69687235,Early Pliocene Basalt,1
32.76452017,35.69862159,Early Pliocene Basalt,1
32.76462847,35.70185441,Early Pliocene Basalt,1
32.76444345,35.70394081,Early Pliocene Basalt,1
32.7647094,35.70559224,Early Pliocene Basalt,1
32.76468797,35.70939609,Early Pliocene Basalt,1
32.76478704,35.71212823,Early Pliocene Basalt,1
32.76449178,35.71476797,Early Pliocene Basalt,1
32.76466527,35.71744833,Early Pliocene Basalt,1
32.76489201,35.71960374,Early Pliocene Basalt,1
32.76511864,35.7217586,Early Pliocene Basalt,1
32.7649051,35.7238536,Early Pliocene Basalt,1
32.76458488,35.72699472,Early Pliocene Basalt,1
32.76438749,35.72908311,Early Pliocene Basalt,1
32.7642436,35.73064854,Early Pliocene Basalt,1
32.76395563,35.73378085,Early Pliocene Basalt,1
32.76248929,35.73516854,Early Pliocene Basalt,1
32.7593767,35.73475817,Early Pliocene Basalt,1
32.75868175,35.73255527,Early Pliocene Basalt,1
32.75845864,35.73090897,Early Pliocene Basalt,1
32.75835348,35.72820772,Early Pliocene Basalt,1
32.75859747,35.72509168,Early Pliocene Basalt,1
32.75875424,35.72252281,Early Pliocene Basalt,1
32.75902921,35.72039925,Early Pliocene Basalt,1
32.75890509,35.71769297,Early Pliocene Basalt,1
32.75924998,35.71502197,Early Pliocene Basalt,1
32.75751262,35.71378723,Early Pliocene Basalt,1
32.75568624,35.71311006,Early Pliocene Basalt,1
32.75437281,35.71293176,Early Pliocene Basalt,1
32.75200902,35.71421654,Early Pliocene Basalt,1
32.75053814,35.71560735,Early Pliocene Basalt,1
32.74952391,35.71704361,Early Pliocene Basalt,1
32.74801381,35.71894716,Early Pliocene Basalt,1
32.74693336,35.72091572,Early Pliocene Basalt,1
32.74631986,35.7234171,Early Pliocene Basalt,1
32.74614919,35.72598541,Early Pliocene Basalt,1
32.74734677,35.72822352,Early Pliocene Basalt,1
32.74816525,35.72937672,Early Pliocene Basalt,1
32.74932192,35.73215389,Early Pliocene Basalt,1
32.75054116,35.7333897,Early Pliocene Basalt,1
32.75163713,35.73568341,Early Pliocene Basalt,1
32.75234843,35.73738701,Early Pliocene Basalt,1
32.75386706,35.7397396,Early Pliocene Basalt,1
32.75462539,35.74091445,Early Pliocene Basalt,1
32.75656703,35.74332245,Early Pliocene Basalt,1
32.7577008,35.74507946,Early Pliocene Basalt,1
32.75878461,35.74735865,Early Pliocene Basalt,1
32.75953874,35.74852717,Early Pliocene Basalt,1
32.7606585,35.75133552,Early Pliocene Basalt,1
32.76178589,35.75308641,Early Pliocene Basalt,1
32.76285261,35.755891,Early Pliocene Basalt,1
32.76354435,35.75811406,Early Pliocene Basalt,1
32.76464049,35.76039001,Early Pliocene Basalt,1
32.76533277,35.76261473,Early Pliocene Basalt,1
