author,site,spec,lat,lon,int,vadm,age,notes
Cromwell et al. 2014,nal828,nal828x2,65.8402,-16.9862,29.2,40.37654394150401,,
Cromwell et al. 2014,ret1,ret1x1,63.6721,-19.4923,121.6,170.28852725732798,,
Cromwell et al. 2014,thren,threnx3,64.0013,-21.4626,38.4,53.66806848787543,eary weichsel,
Wang et al. 2015,1,1.4,-1.0,,3.2,8.271313157461922,,
Wang et al. 2015,1,1.7,-1.0,,4.9,12.665448272363568,,
Wang et al. 2015,1,1.8,-1.0,,3.2,8.271313157461922,,
Wang et al. 2015,27,27.8,-1.0,,46.3,119.67556224702716,,
Wang et al. 2015,29,29.5,-1.0,,31.2,80.64530328525373,,
Wang et al. 2015,30,30.1,-1.0,,24.4,63.06876282564714,,
Wang et al. 2015,30,30.2,-1.0,,25.9,66.94594086820742,,
Wang et al. 2015,30,30.3,-1.0,,45.7,118.12469103000306,,
Wang et al. 2015,30,30.8,-1.0,,46.8,120.96795492788058,,
Wang et al. 2015,60,60.5,-1.0,,140.9,364.1962574644952,,
Wang et al. 2015,67,67.4,-1.0,,136.4,352.5647233368144,,
Wang et al. 2015,83,83.2,-1.0,,18.5,47.81852919157673,,
Wang et al. 2015,9,9.1,-1.0,,48.3,124.84513297044087,,
Wang et al. 2015,9,9.2,-1.0,,45.5,117.60773395766168,,
Wang et al. 2015,9,9.3,-1.0,,46.8,120.96795492788058,,
